County,Precinct,First Expression,Final Expression,SDE
,JEFFERSON EAST/SHUEYVILLE,193,170,2.025
,NORTH LIBERTY 02,260,259,2.835
,CORALVILLE 06,538,538,4.05
,IOWA CITY 15,244,239,2.43
,NORTH LIBERTY 03 (PW),384,384,3.645
,CORALVILLE 05,326,306,2.835
,IOWA CITY 07,484,436,3.24
,IOWA CITY 11,566,535,3.24
,NORTH LIBERTY 04,199,195,2.43
,CORALVILLE 02,469,466,3.24
,NEWPORT TOWNSHIP,372,356,2.835
,CLEAR CREEK/TIFFIN,330,330,3.24
,CORALVILLE 04,309,283,2.835
,NORTH LIBERTY 01,268,268,2.835
,IOWA CITY 10/ELSW,282,273,2.835
,NORTH LIBERTY 05,237,237,2.43
,IOWA CITY 12/EAST LUCAS SE,344,329,3.645
,IOWA CITY 02,448,417,4.05
,IOWA CITY 08,522,497,4.05
,IOWA CITY 09,464,379,3.645
,CORALVILLE 01,529,529,3.645
,IOWA CITY 13,405,392,2.835
,IOWA CITY 22,517,511,3.24
,IOWA CITY 05,754,670,3.645
,IOWA CITY 20,617,571,3.645
,IOWA CITY 19,443,356,2.835
,IOWA CITY 03,447,343,2.835
,IOWA CITY 04,715,715,4.05
,CORALVILLE 07,423,410,3.645
,Total,19104,17839,147.015
Jones,ROHA-ROME/HALE,24,24,0.8
,MN3-MONTICELLO 3,35,35,0.64
,MN4-MONTICELLO 4,36,36,0.64
,RLWS-RICHLAND WASHINGTON,37,37,0.64
,CGLW-CASTLE GRV/LOV/WAYN,71,69,1.28
,MN1-MONTICELLO 1,24,24,0.64
,GF-GREENFIELD,19,19,0.48
,OX-OXFORD,17,17,0.32
,SGMC-SC GRV/MADISON/CLAY,28,28,0.64
,MN2-MONTICELLO 2,45,45,0.64
,ANN-ANAMOSA NORTH/CASS,75,75,1.44
,FV-FAIRVIEW,69,69,1.28
,ANS-ANAMOSA SOUTH/JACKSON,119,116,2.08
,Total,599,594,11.52
Keokuk,Lafayette/Clear Creek,42,36,0.6858
,Jackson,4,4,0.1143
,Prairie,3,3,0.1143
,Sigourney 3rd Ward,13,13,0.2286
,Benton/Steady Run,29,29,0.3429
,Sigourney 2nd Ward,26,20,0.2286
