County,Precinct,First Expression,Final Expression,SDE
,Humboldt 3-South Rutland,55,55,0.889
,North Lake-East Vernon,3,2,0.1778
,Humboldt 1-Corinth-South Weaver,59,57,0.889
,South Lake-North Norway,5,5,0.0889
,Total,226,221,3.556
Ida,City of Holstein,60,60,0.9
,Ida Grove Ward 1,13,13,0.3
,Ida Grove Ward 3,15,15,0.44999999999999996
,Ida Grove Ward 2,12,12,0.3
,City of Arthur,16,14,0.3
,City of Battle Creek & Grant Township,26,26,0.6
,Total,142,140,2.85
Iowa,English II,56,56,0.6
,Honey Creek/Marengo Rural,16,16,0.30000000000000004
,Dayton/English I,24,24,0.30000000000000004
,Lenox/Iowa,162,159,2.0
,Williamsburg,146,146,2.3
,Marengo City,86,75,1.4000000000000001
,Fillmore/Greene,57,57,0.8
,Hilton/Washington,65,64,0.8
,Pilot/Troy/York,35,35,0.6000000000000001
,Hartford I/Sumner,15,15,0.30000000000000004
,Hartford II/Lincoln,39,38,0.6
,Total,701,685,10.0
Jackson,Jackson 01,124,124,2.2286
,Jackson 02,42,42,0.5142
,Jackson 08,26,26,0.5142
,Jackson 05,20,20,0.5142
,Jackson 16,75,73,1.0287
,Jackson 11,19,17,0.3428
,Jackson 15,53,53,0.8571
,Jackson 07,77,77,1.0286
,Jackson 06,47,47,0.6856
,Jackson 14,47,47,0.6856
,Jackson 13,37,29,0.5142
,Jackson 12,18,18,0.6856
,Jackson 09,56,56,0.8571
,Total,641,629,10.456499999999998
Jasper,Newton 3-1,103,103,1.6099999999999999
,Colfax Ward 1,38,38,0.46
,Newton 2-2,125,122,1.2650000000000001
,Newton 2-1,102,100,1.6099999999999999
,Indep/Malaka/Mariposa,101,101,1.38
,Clear Creek/Poweshiek,80,80,1.035
,Newton 3-2,65,63,1.1500000000000001
,Colfax Ward 3,16,16,0.46
,Palo Alto,42,42,0.5750000000000001
,Mound Prairie/Washington,63,52,0.69
,Fairview,85,85,1.4949999999999999
,Newton 4-1,161,159,1.8399999999999999
,Newton 1-2,57,56,1.15
,Newton 1-1,74,74,1.4949999999999999
,Des Moines,66,64,1.265
,HG/K/RC/BV/RL,136,136,1.9549999999999998
,Total,1314,1291,19.435
Jefferson,Fairfield 1st Ward,289,273,1.9636
,Fairfield 3rd Ward,78,78,0.8727
,Blackhawk-Polk-Packwood,33,33,0.2182
,Center-Cedar-Maharishi Vedic City,270,242,1.7454
,Fairfield 4th Ward,339,318,1.7454999999999998
,Fairfield 5th Ward,178,161,1.5272999999999999
,Fairfield 2nd Ward,451,415,2.4
,Des Moines-Liberty-Libertyville,17,17,0.2182
,Total,1655,1537,10.6909
Johnson,IOWA CITY 21,785,715,4.050000000000001
,IOWA CITY 18,837,828,4.859999999999999
,GRAHAM TOWNSHIP,54,0,0.405
,HARDIN TOWNSHIP,55,55,0.405
,NEWPORT TOWNSHIP,372,356,2.8350000000000004
,PENN/ EAST LUCAS NORTH,584,547,4.050000000000001
,UNION TOWNSHIP,94,94,0.81
,CEDAR TOWNSHIP,65,65,0.405
,BIG GROVE TOWNSHIP,167,68,1.62
,JEFFERSON EAST/SHUEYVILLE,193,170,2.0250000000000004
,IOWA CITY 11,566,535,3.24
,CORALVILLE 01,529,529,3.6450000000000005
,IOWA CITY 20,617,571,3.6450000000000005
,IOWA CITY 19,443,356,2.835
,IOWA CITY 03,447,343,2.835
,IOWA CITY 12/EAST LUCAS SE,344,329,3.6450000000000005
,IOWA CITY 05,754,670,3.6450000000000005
,IOWA CITY 16,589,533,4.455
,IOWA CITY 02,448,417,4.05
,IOWA CITY 09,464,379,3.6450000000000005
,CORALVILLE 03,228,228,2.0250000000000004
,LIBERTY-PLEASANT VALLEY,63,61,0.81
,FREMONT-LINCOLN (INCLUDES,113,113,1.62
,WEST LUCAS TOWNSHIP,74,74,1.215
,HILLS,68,68,0.81
,OXFORD TOWNSHIP/OXFORD,112,74,1.215
,UNIVERSITY HEIGHTS,312,296,1.62
,SCOTT TWP-WEST BRANCH,157,157,1.62
,CLEAR CREEK/TIFFIN,330,330,3.24
,CORALVILLE 02,469,466,3.24
,NORTH LIBERTY 03 (PW),384,384,3.6450000000000005
,NORTH LIBERTY 01,268,268,2.8350000000000004
,IOWA CITY 08,522,497,4.050000000000001
,NORTH LIBERTY 02,260,259,2.8350000000000004
,CORALVILLE 06,538,538,4.050000000000001
,CORALVILLE 07,423,410,3.6450000000000005
,NORTH LIBERTY 05,237,237,2.43
,NORTH LIBERTY 04,199,195,2.43
,IOWA CITY 24,627,573,4.859999999999999
,CORALVILLE 05,326,306,2.8350000000000004
,IOWA CITY 15,244,239,2.43
,IOWA CITY 13,405,392,2.835
,IOWA CITY 22,517,511,3.24
,IOWA CITY 14,473,441,3.6450000000000005
,IOWA CITY 04,715,715,4.05
,IOWA CITY 06,513,461,4.455
,CORALVILLE 04,309,283,2.8350000000000004
,IOWA CITY 10/ELSW,282,273,2.8350000000000004
,IOWA CITY 01,650,643,4.86
,IOWA CITY 07,484,436,3.24
,NL06/MADISON /CCN,395,351,4.455
,Total,19104,17839,147.015
Jones,OX-OXFORD,17,17,0.32
,FV-FAIRVIEW,69,69,1.28
,ANS-ANAMOSA SOUTH/JACKSON,119,116,2.08
,GF-GREENFIELD,19,19,0.48
,RLWS-RICHLAND WASHINGTON,37,37,0.64
,SGMC-SC GRV/MADISON/CLAY,28,28,0.64
,MN2-MONTICELLO 2,45,45,0.64
,MN3-MONTICELLO 3,35,35,0.64
,MN4-MONTICELLO 4,36,36,0.64
,CGLW-CASTLE GRV/LOV/WAYN,71,69,1.28
,MN1-MONTICELLO 1,24,24,0.64
,ANN-ANAMOSA NORTH/CASS,75,75,1.4400000000000002
,ROHA-ROME/HALE,24,24,0.8
,Total,599,594,11.52
Keokuk,Lafayette/Clear Creek,42,36,0.6858
,English River/Liberty,34,34,0.4572
,Sigourney 4th Ward,23,23,0.2286
,Sigourney 3rd Ward,13,13,0.2286
,Sigourney 1st Ward,20,20,0.2286
,Jackson,4,4,0.1143
,Warren,11,11,0.1143
,Richland,16,16,0.2286
,Sigourney/Plank/Van Buren,16,16,0.3429
,Adams,14,14,0.2286
,Sigourney 2nd Ward,26,20,0.2286
,Benton/Steady Run,29,29,0.3429
